,MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,L1 L2 and L3,L4 L5 and L6,L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four
0,Bolton 001,E02000984,5.405405405,16.21621622,12.0,26.0,1958,27.681307456588357,30.745658835546475,9.85699693564862,14.04494382022472,4.954034729315628,5.515832482124617,5.005107252298264,1.6853932584269662,0.5107252298263534,3205.0,64.18096723868955,28.549141965678626,6.739469578783151,0.5304212168486739,0.0
1,Bolton 002,E02000985,,15.38461538,15.38461538,30.76923077,1828,24.17943107221007,30.525164113785557,10.776805251641138,13.89496717724289,4.868708971553611,6.892778993435448,6.783369803063458,1.5317286652078774,0.5470459518599562,3220.0,55.24844720496894,33.13664596273292,10.0,1.5838509316770186,0.031055900621118012
2,Bolton 003,E02000986,5.555555556,16.66666667,17.24137931,34.48275862,2095,17.326968973747018,25.441527446300714,12.601431980906922,15.417661097852028,6.921241050119331,9.307875894988067,10.596658711217184,1.5751789976133652,0.8114558472553699,3647.0,52.45407183986839,33.94570880175486,11.26953660542912,2.221003564573622,0.10967918837400603
3,Bolton 004,E02000987,9.375,18.75,16.27906977,34.88372093,1882,13.921360255047821,23.219978746014878,11.742826780021254,10.892667375132838,8.660998937300745,12.592986184909671,13.655685441020191,4.410201912858661,0.9032943676939427,3462.0,43.41421143847487,33.044482957827846,17.619872905834775,5.7770075101097635,0.14442518775274407
4,Bolton 005,E02000988,4.166666667,14.58333333,21.42857143,37.14285714,2166,9.510618651892889,19.252077562326868,13.019390581717452,14.496768236380426,5.263157894736842,14.219759926131118,15.835641735918744,6.694367497691597,1.7082179132040627,3640.0,40.96153846153846,34.6978021978022,19.36813186813187,4.78021978021978,0.19230769230769232
5,Bolton 006,E02000989,5.882352941,23.52941176,15.2173913,32.60869565,2020,18.564356435643564,29.405940594059405,11.435643564356436,14.603960396039604,6.534653465346535,7.128712871287128,9.108910891089108,2.8712871287128716,0.34653465346534656,3744.0,53.84615384615385,33.547008547008545,10.870726495726496,1.6826923076923077,0.05341880341880342
6,Bolton 007,E02000990,11.62790698,20.93023256,16.66666667,27.77777778,2240,19.866071428571427,26.026785714285715,11.428571428571429,11.116071428571427,7.321428571428572,9.508928571428571,11.517857142857142,2.3214285714285716,0.8928571428571428,3691.0,55.05283121105391,31.31942562991059,11.379030073150908,2.113248442156597,0.135464643727987
7,Bolton 008,E02000991,6.666666667,20.0,23.21428571,35.71428571,2031,15.755785327424915,23.042836041358935,10.930576070901035,14.032496307237812,6.154603643525356,11.127523387493845,13.737075332348597,4.677498769079271,0.5416051206302315,3250.0,48.707692307692305,33.93846153846154,13.538461538461538,3.723076923076923,0.0923076923076923
8,Bolton 009,E02000992,5.555555556,16.66666667,21.42857143,38.0952381,1609,19.763828464885023,26.165320074580485,11.870727159726538,12.181479179614668,7.333747669359851,8.079552517091361,10.8141702921069,3.2939714108141707,0.4972032318210068,2760.0,53.47826086956522,31.630434782608695,11.666666666666666,3.0797101449275366,0.14492753623188406
9,Bolton 010,E02000993,13.55932203,27.11864407,24.28571429,40.0,2200,7.636363636363637,17.18181818181818,10.909090909090908,9.772727272727273,6.772727272727273,17.272727272727273,19.136363636363637,9.545454545454547,1.7727272727272727,3450.0,38.57971014492754,32.43478260869565,21.594202898550723,7.0724637681159415,0.3188405797101449
10,Bolton 011,E02000994,9.259259259,18.51851852,25.27472527,38.46153846,2023,3.8062283737024223,11.02323282254078,8.7988136431043,14.384577360355907,4.9431537320810675,16.6584280771132,23.28225407810183,15.521502718734553,1.5818091942659416,3317.0,27.223394633705155,36.26771178776003,24.90201989749774,11.003919204100091,0.6029544769369912
11,Bolton 012,E02000995,8.695652174,19.56521739,20.0,33.84615385,2031,19.44854751354013,22.698178237321518,9.010339734121123,12.112259970457902,4.8252092565238796,10.290497291974397,14.918759231905465,6.105366814377154,0.5908419497784343,3424.0,49.15303738317757,32.30140186915888,13.492990654205608,4.877336448598131,0.17523364485981308
12,Bolton 013,E02000996,13.7254902,27.45098039,23.75,38.75,2125,6.070588235294118,13.08235294117647,10.776470588235295,10.352941176470589,7.152941176470589,17.270588235294117,19.341176470588238,13.976470588235292,1.9764705882352942,3381.0,31.11505471753919,34.27979887607217,23.60248447204969,10.529429162969535,0.47323277136941727
13,Bolton 014,E02000997,7.692307692,11.53846154,15.38461538,28.20512821,1643,21.485088253195375,25.562994522215458,11.138161898965308,12.111990261716372,5.842970176506391,8.703590992087644,11.016433353621425,3.5301278149726114,0.6086427267194157,2722.0,52.0940484937546,32.365907421013965,12.123438648052902,3.306392358559882,0.11021307861866275
14,Bolton 015,E02000998,10.0,18.33333333,26.43678161,39.08045977,2330,6.824034334763948,12.060085836909872,8.71244635193133,17.510729613733904,5.92274678111588,15.150214592274677,21.630901287553648,10.343347639484978,1.8454935622317596,3702.0,34.49486763911399,37.007023230686116,20.772555375472717,7.023230686115613,0.7023230686115614
15,Bolton 016,E02000999,13.63636364,25.0,18.46153846,29.23076923,1785,5.378151260504202,11.87675070028011,7.563025210084033,13.165266106442578,4.42577030812325,14.2296918767507,21.680672268907564,19.047619047619047,2.6330532212885154,3635.0,24.594222833562586,35.57083906464925,27.455295735900965,11.88445667125172,0.49518569463548834
16,Bolton 017,E02001000,11.9047619,21.42857143,17.1875,34.375,2272,8.494718309859154,17.913732394366196,11.575704225352112,13.29225352112676,7.21830985915493,14.43661971830986,18.529929577464788,6.954225352112677,1.584507042253521,4065.0,40.88560885608856,34.809348093480935,19.06519065190652,4.895448954489545,0.34440344403444034
17,Bolton 018,E02001001,8.510638298,19.14893617,25.35211268,36.61971831,2093,18.729096989966553,18.824653607262302,9.507883420926898,15.050167224080269,4.538939321548018,11.323459149546105,14.33349259436216,6.258958432871477,1.433349259436216,3209.0,46.61888438765971,33.53069492053599,14.73979432845123,4.799002804612028,0.3116235587410408
18,Bolton 019,E02001002,13.7254902,25.49019608,25.0,36.25,2509,9.645277002789957,21.123953766440813,11.717815862893582,11.717815862893582,8.569151056197688,13.909924272618573,15.544041450777202,6.7357512953367875,1.0362694300518136,4074.0,41.62984781541483,35.83701521845852,17.378497790868924,4.786450662739323,0.3681885125184094
19,Bolton 020,E02001003,,16.0,20.0,32.5,1682,30.737217598097505,25.980975029726515,7.8478002378121285,15.81450653983353,3.2699167657550534,6.064209274673008,6.658739595719382,3.2699167657550534,0.356718192627824,2829.0,57.05196182396607,32.166843407564514,9.190526687875575,1.5553199010250973,0.03534817956875221
20,Bolton 021,E02001004,8.219178082,15.06849315,23.52941176,37.64705882,2041,5.1445369916707495,8.525232729054386,7.6923076923076925,14.404703576678099,5.438510534051935,14.64968152866242,24.448799608035277,17.981381675649192,1.71484566389025,3059.0,23.27558025498529,37.920889179470414,27.39457338999673,10.624387054593004,0.7845701209545604
21,Bolton 022,E02001005,15.25423729,25.42372881,28.125,43.75,2124,7.297551789077213,12.382297551789078,9.55743879472693,18.173258003766477,4.613935969868174,13.606403013182675,22.645951035781543,10.310734463276836,1.4124293785310735,3390.0,34.660766961651916,35.51622418879056,21.474926253687315,7.52212389380531,0.8259587020648967
22,Bolton 023,E02001006,9.375,18.75,22.78481013,39.24050633,2011,6.4644455494778725,12.680258577821979,10.343112879164593,16.061660865241173,5.121829935355544,15.11685728493287,21.38239681750373,11.536548980606662,1.2928891098955742,2759.0,31.569409206234145,37.69481696266763,22.254440014498005,8.155128669807901,0.32620514679231605
