MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,All households,not deprived,deprived in one,deprived in two,deprived in three,deprived in four,x,y
Bolton 001,E02000984,5.405405405,16.21621622,12,26,3205,2057,915,216,17,0,371377.299,414046.6208
Bolton 002,E02000985,,15.38461538,15.38461538,30.76923077,3220,1779,1067,322,51,1,373100.9866,412751.1233
Bolton 003,E02000986,5.555555556,16.66666667,17.24137931,34.48275862,3647,1913,1238,411,81,4,371758.7737,412607.0782
Bolton 004,E02000987,9.375,18.75,16.27906977,34.88372093,3462,1503,1144,610,200,5,363852.408,411812.337
Bolton 005,E02000988,4.166666667,14.58333333,21.42857143,37.14285714,3640,1491,1263,705,174,7,371316.0089,411663.0274
Bolton 006,E02000989,5.882352941,23.52941176,15.2173913,32.60869565,3744,2016,1256,407,63,2,374415.0944,411521.3501
Bolton 007,E02000990,11.62790698,20.93023256,16.66666667,27.77777778,3691,2032,1156,420,78,5,364345.0773,410950.7714
Bolton 008,E02000991,6.666666667,20,23.21428571,35.71428571,3250,1583,1103,440,121,3,370089.3052,410843.1625
Bolton 009,E02000992,5.555555556,16.66666667,21.42857143,38.0952381,2760,1476,873,322,85,4,361738.0688,410718.133
Bolton 010,E02000993,13.55932203,27.11864407,24.28571429,40,3450,1331,1119,745,244,11,372759.7914,410856.6727
Bolton 011,E02000994,9.259259259,18.51851852,25.27472527,38.46153846,3317,903,1203,826,365,20,371039.1591,410675.5507
Bolton 012,E02000995,8.695652174,19.56521739,20,33.84615385,3424,1683,1106,462,167,6,368748.1524,410519.6423
Bolton 013,E02000996,13.7254902,27.45098039,23.75,38.75,3381,1052,1159,798,356,16,374257.2972,410161.6406
Bolton 014,E02000997,7.692307692,11.53846154,15.38461538,28.20512821,2722,1418,881,330,90,3,365531.5969,410018.34
Bolton 015,E02000998,10,18.33333333,26.43678161,39.08045977,3702,1277,1370,769,260,26,370227.4515,409730.1881
Bolton 016,E02000999,13.63636364,25,18.46153846,29.23076923,3635,894,1293,998,432,18,371359.7347,409690.541
Bolton 017,E02001000,11.9047619,21.42857143,17.1875,34.375,4065,1662,1415,775,199,14,373073.2795,409526.5669
Bolton 018,E02001001,8.510638298,19.14893617,25.35211268,36.61971831,3209,1496,1076,473,154,10,369592.0776,409117.2602
Bolton 019,E02001002,13.7254902,25.49019608,25,36.25,4074,1696,1460,708,195,15,374494.3737,408842.7084
Bolton 020,E02001003,,16,20,32.5,2829,1614,910,260,44,1,368287.5599,408473.8546
Bolton 021,E02001004,8.219178082,15.06849315,23.52941176,37.64705882,3059,712,1160,838,325,24,370445.058,408284.6131
Bolton 022,E02001005,15.25423729,25.42372881,28.125,43.75,3390,1175,1204,728,255,28,372151.9928,407518.5959
Bolton 023,E02001006,9.375,18.75,22.78481013,39.24050633,2759,871,1040,614,225,9,370438.6911,407550.6424
Bolton 024,E02001007,8.510638298,25.53191489,26.76056338,43.66197183,4390,1936,1558,712,179,5,375572.7298,407388.4094
Bolton 025,E02001008,12.5,18.75,27,40,2830,771,1075,690,274,20,371154.5594,407271.4432
Bolton 026,E02001009,10.86956522,19.56521739,24.24242424,36.36363636,2980,1144,1094,588,145,9,369662.9585,407109.225
Bolton 027,E02001010,14.58333333,29.16666667,27.5862069,39.65517241,2487,923,900,490,166,8,373494.8417,406547.5787
Bolton 028,E02001011,8,20,19.35483871,32.25806452,4233,2367,1315,471,76,4,366205.1452,406465.429
Bolton 029,E02001012,10.20408163,22.44897959,24.70588235,42.35294118,2982,1140,1110,583,136,13,372297.0696,406329.682
Bolton 030,E02001013,13.04347826,21.73913043,17.07317073,34.14634146,2498,1313,802,322,60,1,368823.4338,406257.1578
Bolton 031,E02001014,9.523809524,23.80952381,26.41509434,39.62264151,3783,1630,1238,680,224,11,365262.786,405779.6045
Bolton 032,E02001015,11.11111111,22.22222222,29.09090909,47.27272727,3860,1426,1356,797,271,10,373831.4635,405555.3164
Bolton 033,E02001016,10,26,24.70588235,43.52941176,3341,1155,1117,780,269,20,372461.0818,405324.6372
Bolton 034,E02001017,10.90909091,25.45454545,23.75,40,4661,2170,1552,728,206,5,375416.0977,405005.1087
Bolton 035,E02001018,11.11111111,25,17.85714286,32.14285714,3108,1681,1010,355,58,4,365206.5868,404563.3163
Bury 001,E02001019,9.375,28.125,16.66666667,30.95238095,4073,2212,1242,481,135,3,378887.4224,416537.5354
Bury 002,E02001020,10.52631579,21.05263158,20,32,2507,1450,805,217,34,1,378121.9723,414744.2244
Bury 003,E02001021,,18.51851852,10.34482759,20.68965517,3176,1862,1002,265,39,8,377771.7389,413841.5201
Bury 004,E02001022,8.333333333,19.44444444,30.55555556,47.22222222,3369,1497,1227,521,112,12,380709.9977,412797.8874
Bury 005,E02001023,9.523809524,14.28571429,19.23076923,30.76923077,2319,1119,809,294,91,6,379421.4221,412398.296
Bury 006,E02001024,6.25,21.875,16.12903226,25.80645161,3376,1842,1091,381,60,2,378117.3268,412172.7233
Bury 007,E02001025,12.5,27.5,27.08333333,43.75,3426,1182,1196,753,277,18,382114.3303,411517.2418
Bury 008,E02001026,12.5,26.38888889,32.35294118,45.58823529,4378,1473,1610,925,349,21,381220.5915,410913.1202
Bury 009,E02001027,10.81081081,27.02702703,28.94736842,42.10526316,3174,1444,1129,466,125,10,379204.3524,411092.8885
Bury 010,E02001028,7.407407407,14.81481481,13.79310345,24.13793103,3100,1711,1035,315,39,0,378207.8229,410435.4002
Bury 011,E02001029,10.81081081,21.62162162,28.88888889,42.22222222,2876,1041,1043,597,192,3,380586.6754,409821.1828
Bury 012,E02001030,11.11111111,22.22222222,23.07692308,34.61538462,2512,1412,773,276,50,1,376459.6505,409125.0271
Bury 013,E02001031,6.666666667,20,22.58064516,38.70967742,2951,1335,1008,468,136,4,380600.3492,408763.4668
Bury 014,E02001032,9.375,25,19.44444444,36.11111111,3279,1502,1147,498,119,13,377682.2465,408237.1639
Bury 015,E02001033,14.28571429,32.14285714,30,43.33333333,2682,1255,888,418,111,10,379431.0035,407964.7771
Bury 016,E02001034,11.11111111,24.44444444,24.44444444,42.22222222,4091,1375,1425,890,386,15,377882.8015,407411.6613
Bury 017,E02001035,11.53846154,23.07692308,25.80645161,32.25806452,2994,1615,1000,335,43,1,381466.6076,407092.5541
Bury 018,E02001036,10,25,17.5,32.5,3095,1492,1007,477,112,7,378636.2226,406309.1719
Bury 019,E02001037,7.692307692,19.23076923,10.34482759,20.68965517,3034,1688,994,311,41,0,380020.4017,405993.0691
Bury 020,E02001038,12.5,20.83333333,29.62962963,40.74074074,2675,1223,887,427,137,1,380770.8771,405716.4866
Bury 021,E02001039,13.33333333,33.33333333,28,40,3510,1492,1176,667,169,6,381585.4072,405784.7192
Bury 022,E02001040,11.11111111,25.92592593,25.92592593,40.74074074,2632,1370,883,310,64,5,381892.3276,405040.9587
Bury 023,E02001041,8.823529412,23.52941176,25.71428571,34.28571429,3400,1631,1075,526,157,11,382067.3488,403980.1758
