MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Bolton 001,E02000984,5.405405405,16.21621622,12,26,1958,0.276813075,602,193,275,97,108,98,33,10,371377.299,414046.6208
Bolton 002,E02000985,,15.38461538,15.38461538,30.76923077,1828,0.241794311,558,197,254,89,126,124,28,10,373100.9866,412751.1233
Bolton 003,E02000986,5.555555556,16.66666667,17.24137931,34.48275862,2095,363,533,264,323,145,195,222,33,17,371758.7737,412607.0782
Bolton 004,E02000987,9.375,18.75,16.27906977,34.88372093,1882,262,437,221,205,163,237,257,83,17,363852.408,411812.337
Bolton 005,E02000988,4.166666667,14.58333333,21.42857143,37.14285714,2166,206,417,282,314,114,308,343,145,37,371316.0089,411663.0274
Bolton 006,E02000989,5.882352941,23.52941176,15.2173913,32.60869565,2020,375,594,231,295,132,144,184,58,7,374415.0944,411521.3501
Bolton 007,E02000990,11.62790698,20.93023256,16.66666667,27.77777778,2240,445,583,256,249,164,213,258,52,20,364345.0773,410950.7714
Bolton 008,E02000991,6.666666667,20,23.21428571,35.71428571,2031,320,468,222,285,125,226,279,95,11,370089.3052,410843.1625
Bolton 009,E02000992,5.555555556,16.66666667,21.42857143,38.0952381,1609,318,421,191,196,118,130,174,53,8,361738.0688,410718.133
Bolton 010,E02000993,13.55932203,27.11864407,24.28571429,40,2200,168,378,240,215,149,380,421,210,39,372759.7914,410856.6727
Bolton 011,E02000994,9.259259259,18.51851852,25.27472527,38.46153846,2023,77,223,178,291,100,337,471,314,32,371039.1591,410675.5507
Bolton 012,E02000995,8.695652174,19.56521739,20,33.84615385,2031,395,461,183,246,98,209,303,124,12,368748.1524,410519.6423
Bolton 013,E02000996,13.7254902,27.45098039,23.75,38.75,2125,129,278,229,220,152,367,411,297,42,374257.2972,410161.6406
Bolton 014,E02000997,7.692307692,11.53846154,15.38461538,28.20512821,1643,353,420,183,199,96,143,181,58,10,365531.5969,410018.34
Bolton 015,E02000998,10,18.33333333,26.43678161,39.08045977,2330,159,281,203,408,138,353,504,241,43,370227.4515,409730.1881
Bolton 016,E02000999,13.63636364,25,18.46153846,29.23076923,1785,96,212,135,235,79,254,387,340,47,371359.7347,409690.541
Bolton 017,E02001000,11.9047619,21.42857143,17.1875,34.375,2272,193,407,263,302,164,328,421,158,36,373073.2795,409526.5669
Bolton 018,E02001001,8.510638298,19.14893617,25.35211268,36.61971831,2093,392,394,199,315,95,237,300,131,30,369592.0776,409117.2602
Bolton 019,E02001002,13.7254902,25.49019608,25,36.25,2509,242,530,294,294,215,349,390,169,26,374494.3737,408842.7084
Bolton 020,E02001003,,16,20,32.5,1682,517,437,132,266,55,102,112,55,6,368287.5599,408473.8546
Bolton 021,E02001004,8.219178082,15.06849315,23.52941176,37.64705882,2041,105,174,157,294,111,299,499,367,35,370445.058,408284.6131
Bolton 022,E02001005,15.25423729,25.42372881,28.125,43.75,2124,155,263,203,386,98,289,481,219,30,372151.9928,407518.5959
Bolton 023,E02001006,9.375,18.75,22.78481013,39.24050633,2011,130,255,208,323,103,304,430,232,26,370438.6911,407550.6424
Bolton 024,E02001007,8.510638298,25.53191489,26.76056338,43.66197183,2494,286,510,386,288,222,301,378,112,11,375572.7298,407388.4094
Bolton 025,E02001008,12.5,18.75,27,40,2037,95,214,177,373,97,315,442,292,32,371154.5594,407271.4432
Bolton 026,E02001009,10.86956522,19.56521739,24.24242424,36.36363636,1789,171,291,206,251,116,263,344,131,16,369662.9585,407109.225
Bolton 027,E02001010,14.58333333,29.16666667,27.5862069,39.65517241,1611,113,219,188,271,116,245,285,162,12,373494.8417,406547.5787
Bolton 028,E02001011,8,20,19.35483871,32.25806452,2527,504,726,305,328,171,192,227,58,16,366205.1452,406465.429
Bolton 029,E02001012,10.20408163,22.44897959,24.70588235,42.35294118,2156,174,361,232,393,146,287,395,148,20,372297.0696,406329.682
Bolton 030,E02001013,13.04347826,21.73913043,17.07317073,34.14634146,1507,271,421,184,218,90,123,125,59,16,368823.4338,406257.1578
Bolton 031,E02001014,9.523809524,23.80952381,26.41509434,39.62264151,2225,263,513,258,254,164,269,374,119,11,365262.786,405779.6045
Bolton 032,E02001015,11.11111111,22.22222222,29.09090909,47.27272727,1986,163,347,254,199,157,295,386,162,23,373831.4635,405555.3164
Bolton 033,E02001016,10,26,24.70588235,43.52941176,2269,113,373,286,227,147,372,497,209,45,372461.0818,405324.6372
Bolton 034,E02001017,10.90909091,25.45454545,23.75,40,2789,348,640,347,338,222,333,429,122,10,375416.0977,405005.1087
Bolton 035,E02001018,11.11111111,25,17.85714286,32.14285714,2120,391,583,248,275,156,180,228,54,5,365206.5868,404563.3163
Bury 001,E02001019,9.375,28.125,16.66666667,30.95238095,2318,509,675,238,276,129,180,233,60,18,378887.4224,416537.5354
Bury 002,E02001020,10.52631579,21.05263158,20,32,1370,367,425,143,166,64,98,73,31,3,378121.9723,414744.2244
Bury 003,E02001021,,18.51851852,10.34482759,20.68965517,1942,548,594,204,260,105,101,97,26,7,377771.7389,413841.5201
Bury 004,E02001022,8.333333333,19.44444444,30.55555556,47.22222222,1994,312,497,227,271,123,214,238,92,20,380709.9977,412797.8874
Bury 005,E02001023,9.523809524,14.28571429,19.23076923,30.76923077,1420,260,343,143,182,84,153,160,77,18,379421.4221,412398.296
Bury 006,E02001024,6.25,21.875,16.12903226,25.80645161,2110,352,598,249,263,187,182,221,44,14,378117.3268,412172.7233
Bury 007,E02001025,12.5,27.5,27.08333333,43.75,2081,175,345,208,214,144,350,390,223,32,382114.3303,411517.2418
Bury 008,E02001026,12.5,26.38888889,32.35294118,45.58823529,2761,181,398,276,415,163,414,575,303,36,381220.5915,410913.1202
Bury 009,E02001027,10.81081081,27.02702703,28.94736842,42.10526316,1865,238,427,262,188,142,240,246,103,19,379204.3524,411092.8885
